release_date,total_positives,total_tests
2021-01-01,195,4317
2021-01-02,72,1852
2021-01-03,149,2855
2021-01-04,122,3315
2021-01-05,288,5413
2021-01-06,307,5830
2021-01-07,390,5424
2021-01-08,268,6190
2021-01-09,276,6515
2021-01-10,111,3766
2021-01-11,78,2629
2021-01-12,141,4435
2021-01-13,164,7247
2021-01-14,179,5594
2021-01-15,195,7077
2021-01-16,270,7748
2021-01-17,93,3733
2021-01-18,88,2681
2021-01-19,82,2347
2021-01-20,171,3787
2021-01-21,227,8049
2021-01-22,172,5487
2021-01-23,147,5091
2021-01-24,91,2985
2021-01-25,77,2814
2021-01-26,178,3571
2021-01-27,171,5013
2021-01-28,118,4758
2021-01-29,178,5644
2021-01-30,131,5401
2021-01-31,111,3739
2021-02-01,92,1732
2021-02-02,165,3922
2021-02-03,169,3117
2021-02-04,195,4580
2021-02-05,212,5859
2021-02-06,173,3784
2021-02-07,141,4797
2021-02-08,145,1953
2021-02-09,124,3348
2021-02-10,190,3784
2021-02-11,156,4220
2021-02-12,279,5873
2021-02-13,198,4423
2021-02-14,82,3025
2021-02-15,159,2063
2021-02-16,190,2848
2021-02-17,163,2917
2021-02-18,309,4822
2021-02-19,257,4606
2021-02-20,169,3734
2021-02-21,221,3415
2021-02-22,133,3573
2021-02-23,196,3375
2021-02-24,338,4919
2021-02-25,309,4599
2021-02-26,463,7180
2021-02-27,211,5577
2021-02-28,346,3282
2021-03-01,166,2213
2021-03-02,367,5550
2021-03-03,351,4725
2021-03-04,566,6291
2021-03-05,438,5192
2021-03-06,669,5197
2021-03-07,480,5692
2021-03-08,348,2928
2021-03-09,372,3632
2021-03-10,743,5344
2021-03-11,846,6173
2021-03-12,855,6619
2021-03-13,905,6125
2021-03-14,417,4456
2021-03-15,752,4513
2021-03-16,1122,6330
2021-03-17,1297,7271
2021-03-18,1247,7308
2021-03-19,1373,7729
2021-03-20,1317,7240
2021-03-21,856,5428
2021-03-22,1141,5119
2021-03-23,1142,5431
2021-03-24,1586,9344
2021-03-25,1522,8975
2021-03-26,2063,11348
2021-03-27,1195,8397
2021-03-28,905,5377
2021-03-29,927,3481
2021-03-30,1578,7996
2021-03-31,1457,9090
2021-04-01,1012,5495
2021-04-02,1867,9673
2021-04-03,1220,7139
2021-04-04,926,6042
2021-04-05,476,2753
2021-04-06,404,2923
2021-04-07,1545,7423
2021-04-08,1741,11351
2021-04-09,1115,7331
2021-04-10,1073,8316
2021-04-11,515,4102
2021-04-12,504,2989
2021-04-13,1007,6417
2021-04-14,999,7527
2021-04-15,1127,5958
2021-04-16,1049,7746
2021-04-17,1034,7183
2021-04-18,369,3664
2021-04-19,269,2515
2021-04-20,637,5831
2021-04-21,985,7311
2021-04-22,921,5673
2021-04-23,782,7036
2021-04-24,1353,9308
2021-04-25,473,4191
2021-04-26,204,1779
2021-04-27,524,4064
2021-04-28,843,8346
2021-04-29,491,4929
2021-04-30,466,5086
2021-05-01,743,5756
2021-05-02,384,4469
2021-05-03,137,1641
2021-05-04,451,6686
2021-05-05,471,4425
2021-05-06,723,8828
2021-05-07,823,8998
2021-05-08,564,4625
2021-05-09,372,4251
2021-05-10,67,1828
2021-05-11,361,4376
2021-05-12,420,3736
2021-05-13,337,4154
2021-05-14,392,3668
2021-05-15,267,4366
2021-05-16,94,2789
2021-05-17,74,2044
2021-05-18,474,6243
2021-05-19,378,4153
2021-05-20,498,6410
2021-05-21,697,7933
2021-05-22,588,5798
2021-05-23,329,4388
2021-05-24,111,1946
2021-05-25,389,3697
2021-05-26,448,5802
2021-05-27,362,3856
2021-05-28,347,4854
2021-05-29,448,4959
2021-05-30,165,3443
2021-05-31,88,1668
2021-06-01,355,4079
2021-06-02,144,2647
2021-06-03,441,3777
2021-06-04,284,4536
2021-06-05,391,3898
2021-06-06,168,3557
2021-06-07,152,2147
2021-06-08,435,4479
2021-06-09,597,4961
2021-06-10,632,6724
2021-06-11,495,5806
2021-06-12,459,5553
2021-06-13,171,2805
2021-06-14,344,3654
2021-06-15,476,5626
2021-06-16,511,5350
2021-06-17,730,6176
2021-06-18,817,7325
2021-06-19,730,6039
2021-06-20,288,3435
2021-06-21,219,2572
2021-06-22,596,6528
2021-06-23,632,6236
2021-06-24,773,6934
2021-06-25,669,6427
2021-06-26,540,6556
2021-06-27,210,2969
2021-06-28,289,2665
2021-06-29,734,7472
2021-06-30,577,6357
2021-07-01,383,3770
2021-07-02,523,6465
2021-07-03,551,8161
2021-07-04,280,3780
2021-07-05,185,2047
2021-07-06,458,5068
2021-07-07,552,7376
2021-07-08,579,5310
2021-07-09,459,4877
2021-07-10,567,5869
2021-07-11,253,2955
2021-07-12,192,2354
2021-07-13,767,5763
2021-07-14,485,5120
2021-07-15,871,7545
2021-07-16,753,6888
2021-07-17,733,6881
2021-07-18,331,3676
2021-07-19,450,5281
2021-07-20,648,5509
2021-07-21,511,4060
2021-07-22,812,5850
2021-07-23,793,6893
2021-07-24,895,6080
2021-07-25,670,5441
2021-07-26,557,4087
2021-07-27,981,6894
2021-07-28,1010,5596
2021-07-29,1073,7398
2021-07-30,953,7388
2021-07-31,1332,8155
2021-08-01,481,5217
2021-08-02,594,4737
2021-08-03,1146,7067
2021-08-04,1356,7604
2021-08-05,1648,9103
2021-08-06,1604,10072
2021-08-07,1285,8305
2021-08-08,840,6630
2021-08-09,780,6209
2021-08-10,1191,8146
2021-08-11,2037,13411
2021-08-12,1596,9752
2021-08-13,1451,10762
2021-08-14,1261,8877
2021-08-15,798,5498
2021-08-16,693,5693
2021-08-17,1510,9773
2021-08-18,1546,9840
2021-08-19,1313,8680
2021-08-20,1433,10235
2021-08-21,1302,8310
2021-08-22,660,6039
2021-08-23,631,4647
2021-08-24,1173,9924
2021-08-25,1274,9868
2021-08-26,826,6350
2021-08-27,967,9424
2021-08-28,796,6690
2021-08-29,386,4594
2021-08-30,346,3553
2021-08-31,571,4469
2021-09-01,1033,9615
2021-09-02,978,7940
2021-09-03,1009,9065
2021-09-04,846,8129
2021-09-05,495,5668
2021-09-06,270,3137
2021-09-07,714,6776
2021-09-08,660,7704
2021-09-09,558,6879
2021-09-10,713,8141
2021-09-11,518,6434
2021-09-12,280,3872
2021-09-13,210,2963
2021-09-14,463,6833
2021-09-15,466,6406
2021-09-16,529,7955
2021-09-17,457,7511
2021-09-18,529,7982
2021-09-19,235,3737
2021-09-20,113,2680
2021-09-21,320,7034
2021-09-22,413,6715
2021-09-23,326,6129
2021-09-24,402,7254
2021-09-25,336,5936
2021-09-26,146,4484
2021-09-27,54,2501
2021-09-28,269,6305
2021-09-29,426,6309
2021-09-30,278,6226
2021-10-01,309,6501
2021-10-02,332,6451
2021-10-03,93,3435
2021-10-04,78,2415
2021-10-05,201,6367
2021-10-06,138,4869
2021-10-07,221,6350
2021-10-08,171,6162
2021-10-09,160,4046
2021-10-10,128,3334
2021-10-11,96,3702
2021-10-12,69,3198
2021-10-13,186,4648
2021-10-14,190,6965
2021-10-15,138,6046
2021-10-16,174,4408
2021-10-17,75,3987
2021-10-18,35,3530
2021-10-19,132,5372
2021-10-20,151,6062
2021-10-21,91,2988
2021-10-22,141,7356
2021-10-23,131,5110
2021-10-24,44,4238
2021-10-25,16,1318
2021-10-26,152,7469
2021-10-27,103,4895
2021-10-28,82,4188
2021-10-29,134,5522
2021-10-30,142,4950
2021-10-31,17,3014
2021-11-01,29,3684
2021-11-02,70,5755
2021-11-03,104,4617
2021-11-04,150,5500
2021-11-05,77,6274
2021-11-06,76,4617
2021-11-07,20,3444
2021-11-08,21,3148
2021-11-09,26,1346
2021-11-10,186,7091
2021-11-11,94,6765
2021-11-12,65,4790
2021-11-13,62,5525
2021-11-14,21,2709
2021-11-15,12,1960
2021-11-16,75,3854
2021-11-17,69,5345
2021-11-18,99,4681
2021-11-19,90,4802
2021-11-20,59,4336
2021-11-21,22,3191
2021-11-22,18,3982
2021-11-23,53,5031
2021-11-24,36,4246
2021-11-25,47,4913
2021-11-26,42,4971
2021-11-27,39,3495
2021-11-28,11,2463
2021-11-29,29,2969
2021-11-30,111,4994
2021-12-01,79,4853
2021-12-02,97,4040
2021-12-03,97,4799
2021-12-04,56,4071
2021-12-05,31,2933
2021-12-06,32,2893
2021-12-07,45,1242
2021-12-08,21,678
2021-12-09,42,717
2021-12-10,35,454
2021-12-11,44,812
